322   ,0    ,0     ,203   ,0    ,974   ,800   ,14 ,20.774
350   ,0    ,0     ,203   ,0    ,974   ,775   ,7  ,18.126
480   ,0    ,0     ,192   ,0    ,936.2 ,712.2 ,3  ,24.405
480   ,0    ,0     ,192   ,0    ,936   ,721   ,90 ,54.276
469   ,117.2,0     ,137.8 ,32.2 ,852.1 ,840.5 ,7  ,54.896
298   ,0    ,107   ,186   ,6    ,879   ,815   ,28 ,42.637
359   ,19   ,141   ,154   ,10.91,942   ,801   ,28 ,59.495
297.8 ,137.2,106.9 ,201.3 ,6    ,878.4 ,655.3 ,28 ,53.525
295.71,0    ,95.64 ,171.54,8.87 ,955.14,859.2 ,3  ,22.946
375   ,93.8 ,0     ,126.6 ,23.4 ,852.1 ,992.6 ,91 ,62.501
194.68,0    ,100.52,170.17,7.48 ,998   ,901.8 ,3  ,12.176
151.8 ,178.1,138.7 ,167.5 ,18.3 ,944   ,694.6 ,28 ,36.35
251.37,0    ,118.27,188.45,6.35 ,1028.4,757.73,100,44.209
172.38,13.61,172.37,156.76,4.14 ,1006.3,856.4 ,3  ,21.291
160   ,128  ,122   ,182   ,6.4  ,824   ,879   ,28 ,39.397
212.57,0    ,100.39,159.35,10.37,1003.8,903.79,56 ,44.395
255   ,0    ,0     ,192   ,0    ,889.8 ,945   ,28 ,18.746
318.8 ,212.5,0     ,155.7 ,14.3 ,852.1 ,880.4 ,91 ,68.1
190   ,190  ,0     ,228   ,0    ,932   ,670   ,365,53.692
108.3 ,162.4,0     ,203.5 ,0    ,938.2 ,849   ,7  ,7.7235
425   ,106.3,0     ,153.5 ,16.5 ,852.1 ,887.1 ,28 ,60.295
375   ,93.8 ,0     ,126.6 ,23.4 ,852.1 ,992.6 ,7  ,45.698
139.6 ,209.4,0     ,192   ,0    ,1047  ,806.9 ,90 ,39.358
190.34,0    ,125.18,161.85,9.88 ,1088.1,802.59,3  ,9.4458
132   ,206.5,160.9 ,178.9 ,5.5  ,866.9 ,735.6 ,28 ,33.307
359   ,19   ,141   ,154   ,10.91,942   ,801   ,56 ,66.781
212.07,0    ,121.62,180.31,5.69 ,1057.6,779.32,3  ,12.473
213.72,98.05,24.51 ,181.71,6.86 ,1065.8,785.38,100,53.903
310   ,0    ,0     ,192   ,0    ,1012  ,830   ,7  ,17.244
212   ,141.3,0     ,203.5 ,0    ,973.4 ,750   ,3  ,6.8086
183.9 ,122.6,0     ,203.5 ,0    ,959.2 ,800   ,28 ,24.046
284   ,15   ,141   ,179   ,5.46 ,842   ,801   ,56 ,44.52
155.6 ,243.5,0     ,180.3 ,10.7 ,1022  ,697.7 ,28 ,37.363
362.6 ,189  ,0     ,164.9 ,11.6 ,944.7 ,755.8 ,91 ,79.297
167.35,129.9,128.62,175.46,7.79 ,1006.3,746.6 ,3  ,14.941
405   ,0    ,0     ,175   ,0    ,1120  ,695   ,28 ,52.304
213.5 ,0    ,174.24,154.61,11.66,1052.3,775.48,28 ,45.94
228   ,342.1,0     ,185.7 ,0    ,955.8 ,674.3 ,28 ,39.699
157   ,214  ,152   ,200   ,9    ,819   ,704   ,28 ,33.053
475   ,118.8,0     ,181.1 ,8.9  ,852.1 ,781.5 ,3  ,37.797
381.4 ,0    ,0     ,185.7 ,0    ,1104.6,784.3 ,7  ,14.541
252   ,0    ,0     ,185   ,0    ,1111  ,784   ,7  ,13.714
144   ,15   ,195   ,176   ,6    ,1021  ,709   ,28 ,15.341
279.8 ,128.9,100.4 ,172.4 ,9.5  ,825.1 ,804.9 ,28 ,52.827
297.16,0    ,117.54,174.8 ,9.52 ,1022.8,753.45,100,56.744
194.68,0    ,100.52,170.17,7.48 ,998   ,901.8 ,28 ,37.266
297   ,0    ,0     ,186   ,0    ,1040  ,734   ,7  ,30.957
424   ,22   ,132   ,178   ,8.48 ,822   ,750   ,28 ,62.053
374   ,0    ,0     ,190   ,7    ,1013  ,730   ,28 ,39.052
277.05,0    ,97.39 ,160.6 ,11.83,973.9 ,875.61,56 ,51.035
531.3 ,0    ,0     ,141.8 ,28.2 ,852.1 ,893.7 ,91 ,59.198
