1958.2,-26.453
1958.3,-24.713
1958.3,-24.663
1958.5,-26.303
1958.6,-27.233
1958.7,-28.973
1958.8,-28.823
1958.9,-27.493
1959  ,-26.583
1959.1,-25.693
1959.2,-25.513
1959.3,-24.453
1959.3,-23.873
1959.4,-24.003
1959.5,-25.613
1959.6,-27.363
1959.7,-28.323
1959.8,-28.823
1959.8,-27.353
1959.9,-26.573
1960  ,-25.733
1960.1,-25.193
1960.2,-24.583
1960.3,-23.133
1960.3,-22.133
1960.4,-22.573
1960.5,-23.983
1960.6,-26.253
1960.7,-28.003
1960.8,-28.333
1960.8,-27.163
1960.9,-25.973
1961  ,-25.273
1961.1,-24.463
1961.2,-23.623
1961.3,-22.683
1961.3,-21.583
1961.4,-22.383
1961.5,-23.583
1961.6,-25.373
1961.7,-27.173
1961.8,-26.853
1961.8,-26.063
1961.9,-25.153
1962  ,-24.223
1962.1,-23.603
1962.2,-22.473
1962.3,-21.583
1962.3,-21.153
1962.4,-21.553
1962.5,-22.553
1962.6,-24.763
1962.7,-25.903
1962.8,-26.743
1962.8,-25.473
1962.9,-24.473
1963  ,-23.423
1963.1,-23.083
1963.2,-22.303
1963.3,-20.773
1963.3,-19.923
1963.4,-20.693
1963.5,-22.423
1963.6,-24.393
1963.7,-25.953
1963.8,-26.173
1963.8,-25.093
1963.9,-23.803
1964  ,-22.593
1964.3,-19.933
1964.4,-20.273
1964.5,-21.723
1964.6,-23.463
1964.7,-25.463
1964.8,-25.293
1964.8,-24.483
1964.9,-23.453
1965  ,-22.723
1965.1,-21.723
1965.2,-21.273
1965.3,-20.033
1965.3,-20.003
1965.4,-20.293
1965.5,-20.953
1965.6,-23.293
1965.7,-24.353
1965.8,-24.863
1965.8,-23.293
1965.9,-22.743
1966  ,-21.543
1966.1,-20.573
1966.2,-19.773
1966.3,-18.463
1966.3,-18.093
1966.4,-18.413
1966.5,-19.763
1966.6,-21.793
1966.7,-23.523
1966.8,-24.063
1966.8,-22.373
1966.9,-21.133
1967  ,-19.833
1967.1,-19.663
1967.2,-19.123
1967.3,-17.743
1967.3,-17.163
1967.4,-18.073
1967.5,-19.613
1967.6,-21.243
1967.7,-22.903
1967.8,-22.773
1967.8,-21.443
1967.9,-20.203
1968  ,-19.593
1968.1,-19.013
1968.2,-18.273
1968.3,-17.143
1968.3,-16.593
1968.4,-16.803
1968.5,-18.023
1968.6,-20.053
1968.7,-21.833
1968.8,-21.913
1968.8,-20.843
1968.9,-19.263
1969  ,-18.163
1969.1,-17.743
1969.2,-16.523
1969.3,-15.503
1969.3,-14.783
1969.4,-15.463
1969.5,-16.273
1969.6,-18.493
1969.7,-19.783
1969.8,-20.383
1969.8,-19.313
1969.9,-18.043
1970  ,-17.103
1970.1,-16.183
1970.2,-15.233
1970.3,-14.033
1970.3,-14.093
1970.4,-14.503
1970.5,-15.813
1970.6,-17.473
1970.7,-19.063
1970.8,-19.093
1970.8,-18.153
1970.9,-17.033
1971  ,-15.993
1971.1,-15.483
1971.2,-14.983
1971.3,-14.383
1971.3,-13.243
1971.4,-13.593
1971.5,-14.793
1971.6,-16.733
1971.7,-18.803
1971.8,-18.603
1971.8,-17.363
1971.9,-16.153
1972  ,-15.393
1972.1,-14.533
1972.2,-14.413
1972.3,-12.443
1972.3,-12.093
1972.4,-13.073
1972.5,-14.113
1972.6,-15.843
1972.7,-17.323
1972.8,-16.963
1972.8,-15.663
1972.9,-14.613
1973  ,-13.623
1973.1,-12.603
1973.2,-11.863
1973.3,-10.663
1973.3,-9.6829
1973.4,-10.093
1973.5,-11.293
1973.6,-12.853
1973.7,-14.653
1973.8,-14.983
